Nofence ID,ID,Type dyr,Tid,Aktivitet ,Kommentar ,,,,,
37684,1512,Rosa ku,2020-07-17 09:45:24',Legger seg,,,,,,
37684,1512,Rosa ku,2020-07-17 09:57:27',Reiser seg ,,,,,,
37684,1512,Rosa ku,2020-07-17 09:58:25',Beiter start,,ikke så lett å se når hun tar planter i munnen fordi graset er så høyt,,,,
37684,1512,Rosa ku,2020-07-17 10:10:33',Dier start,Rosa egen kalv,"vanskelig å se fordi det filmes langt unna, og av kua bakfra så man ikke ser hvor hode er. Vet ikke om kua beiter, og vet ikke nøyaktig når kalv starter diing.",,,,
37684,1512,Rosa ku,2020-07-17 10:10:56',Dier start,Rosa fosterkalv,Ser tydelig her at begge kalvene dier,,,,
37684,1512,Rosa ku,2020-07-17 10:11:17',Beiter slutt,,,,,,
37684,1512,Rosa ku,2020-07-17 10:18:02',Dier slutt,Rosa egen kalv,,,,,
37684,1512,Rosa ku,2020-07-17 10:19:12',Beiter start,,Kua beveger seg bortover mens rosa fosterkalv dier litt av og på. ,,,,
37684,1512,Rosa ku,2020-07-17 10:20:53',Dier slutt,Rosa fosterkalv,,,,,
37684,1512,Rosa ku,2020-07-17 10:21:46',Beiter slutt,,,,,,
37684,1512,Rosa ku,2020-07-17 10:22:21',Beiter start,,Ikke så lett å se pga graset er så høyt,,,,
37684,1512,Rosa ku,2020-07-17 10:22:48',Beiter slutt,,,,,,
37684,1512,Rosa ku,2020-07-17 10:23:24',Legger seg,,drøvtygger mens hun ligger,,,,
37684,1512,Rosa ku,2020-07-17 11:57:22',Reiser seg ,,steffen jager opp kua fordi hun har ligget så lenge (så det skal skje noe..),,,,
37684,1512,Rosa ku,2020-07-17 11:59:33',Beiter start,,Ser ikke beitinga til rosa ku hele tida fordi det filmes kyr og kalver som dier.,,,,
37684,1512,Rosa ku,2020-07-17 12:12:43',Beiter slutt ,,,,,,
37684,1512,Rosa ku,2020-07-17 12:13:29',Beiter start ,12:28:12: blader,Rosa ku filmes lite… Steffen sier noen ganger at hun beiter.. ,,,,
37684,1512,Rosa ku,2020-07-17 12:28:27',Beiter slutt,Blader til slutt,"rundt 12:22 til 12:25 dårlig filming, så står hun blant trær, vanskelig å se",,,,
